word,cnt
이란,373
미국,257
북한,214
중국,186
트럼프,179
대하다,142
대통령,140
제재,122
홍콩,122
정부,121
총리,108
미사일,108
유엔,106
인도,103
프랑스,102
이스라엘,101
한국,96
시위,96
위하다,93
협상,91
세계,91
일본,91
공격,88
러시아,88
반대,87
경찰,85
중단,85
합의,84
퍼센트,82
지원,80
정상,77
발사,72
난민,71
테러,67
사우디,64
사망,64
이탈리아,63
회의,63
유럽,63
군사,62
아프리카,61
선거,61
여성,60
요구,60
경제,59
제안,57
시리아,57
네덜란드,57
개발,55
언론,55
오바마,52
국제,52
연합,51
가능,50
규모,50
이라크,50
발생,48
싱가포르,48
필요,47
회담,45
북미,44
관련,44
논의,44
거부,43
정권,42
중동,41
브렉시트,41
위협,41
올해,41
불법,41
위기,41
방문,40
대응,40
도착,40
체포,40
시스템,40
지지,39
푸틴,39
북부,39
대북,38
대상,38
의회,38
조사,37
시설,37
정책,37
폭력,37
영국,37
석유,36
터키,36
협력,36
문제,36
수출,35
아베,35
사건,35
폭탄,35
정보,34
강화,34
장관,34
훈련,34
위험,34
발표,33
아랍,33
폭발,32
상승,31
대사,31
예멘,31
외교,31
주장,31
방어,31
군대,31
개국,31
광고,30
전쟁,30
전략,30
총격,30
작전,29
앞두다,29
보안,29
관계,29
국가,29
확인,29
해결,29
장례식,29
테러리스트,29
동안,29
정치,28
개최,28
공개,28
공동,28
수단,28
베네수엘라,28
지도자,28
국무부,28
이민자,28
범위,28
위반,27
종료,27
탱크,27
사드,27
승리,27
에콰도르,27
유지,27
에르도안,27
대회,26
목표,26
무역,26
촉구,26
개혁,26
인권,26
사임,26
위성,26
명령,26
폭격기,26
시장,25
비상,25
경쟁,25
통과,25
보수,25
논란,25
낙관,25
중앙,25
올리다,25
카타르,25
선언,25
대표,24
아시아,24
로켓,24
하루,24
남편,24
부인,24
협정,24
아프간,23
추진,23
지역,23
방송,23
민간인,22
의혹,22
요청,22
외무,22
독립,22
언급,22
거리,22
계획,22
준비,22
분쟁,22
시작,22
탈퇴,22
가치,21
혼란,21
시대,21
희망,21
탄도,21
무기,21
패배,21
증가,21
책임,21
나라,21
최고,20
단체,20
허용,20
투자,20
지진,20
구성,20
군부,20
멕시코,20
설치,20
국경,20
탈레반,20
화재,20
외교관,20
제출,20
통화,20
환영,20
체제,20
특별,20
공사,19
자체,19
긴급,19
보도,19
보이다,19
회복,19
호르무즈,19
국방,19
이집트,19
스리랑카,19
말라리아,19
기금,19
슬로바키아,19
배치,19
내부,19
부통령,19
신속,19
붕괴,19
실험,19
거래,19
부상,18
국방장관,18
피하다,18
기업,18
대선,18
연기,18
독일,18
매체,18
겨냥,18
팔레스타인,18
달러,18
그리스,18
파리,18
추락,18
여행,18
협의,18
총회,18
사과,18
태국,18
응급,18
북쪽,18
등장,18
소말리아,18
최소,18
도쿄,18
지구,17
베트남,17
충격,17
피해,17
드론,17
비난,17
호소,17
수용,17
통하다,17
우려,17
건설,17
연대,17
사흘,17
청소,17
기술,17
위원회,17
부동산,17
스페인,17
우주,17
반응,17
압력,17
사용,17
안보,17
부모,17
학대,17
수사,16
시도,16
경고,16
대만,16
이틀,16
금리,16
투표,16
타협,16
시민,16
발전,16
바꾸다,16
야권,16
인공,16
구축,16
평등,16
노벨,16
감정,16
교환,16
따르다,16
나쁘다,16
도시,16
가족,16
결과,16
추방,16
구매,16
보고서,16
진행,16
원자력,16
복수,16
민주,15
감시,15
격화,15
서비스,15
커지다,15
기자,15
총선,15
차단,15
폐지,15
고려,15
심각,15
이상,15
자동,15
노동,15
동맹,15
보궐,15
후쿠시마,15
약속,15
처벌,15
자유,15
사고,15
화산,15
미터,15
사회,15
실패,15
미군,15
재앙,15
밝히다,15
내전,15
주도,15
평가,15
영향,14
지키다,14
금지,14
안정,14
산업,14
사전,14
시간,14
통신,14
조직,14
무력,14
스웨덴,14
이슈,14
인정,14
경험,14
마크롱,14
배후,14
과학자,14
대처,14
해제,14
성공,14
축출,14
이슬람,14
참여,14
구조,14
정정,14
국방부,14
점수,14
관광,14
과도,14
프랑크푸르트,14
토끼,14
관리,14
일어나다,14
취소,14
지휘관,14
재정,14
이민,14
최악,14
스마트폰,13
표명,13
비율,13
강력,13
수여,13
지정,13
시험,13
탄압,13
전자,13
옹호,13
맞불,13
조기,13
캐나다,13
체결,13
전기,13
검토,13
나오다,13
