ID,text,target
ynat-v1_train_00000,정영석 파파미사일 KT에 이용기간 2년 단축…2분기종료2보,4
ynat-v1_train_00001,검찰청에 로또 당첨자 회장에 2억 달러 송금,3
ynat-v1_train_00002,北 김정은 자주통일 새 시대 열어나가야 보자,2
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5
ynat-v1_train_00004,美대선 앞두고 중국인 단체 발언서 비공개로 감시 강화,6
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0
ynat-v1_train_00006,프로야구 롯데 광주 경기 취소,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳건,4
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4
ynat-v1_train_00010,이매력 모모랜드 열차…3약·주가 고조진,5
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,1
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2
ynat-v1_train_00013,아이폰 X 수리비 2만대…맥북 디스플레이 41%,4
ynat-v1_train_00014,문 대통령 당선자 민관합동사위 설치…철거물 보존·재활용,2
ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,0
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5
ynat-v1_train_00018,개정전 연재정연 작가,0
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2
ynat-v1_train_00020,추신수 타율 0.265로 시즌 마감…최지만은 19홈런·6할,1
ynat-v1_train_00021,KIA 이수단·팬들께하는 호흡·감족 한마당 축제,1
ynat-v1_train_00022,현대차 중견 임원 늘려…중세계 리더 보강 육성,3
ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길 것,6
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1
ynat-v1_train_00025,-선 폭:n@ 현장N조Z,3
ynat-v1_train_00026,SK텔레콤 2분기 영업익 4천105억…21.1％ 증가,5
ynat-v1_train_00027,생명인증법 제안…유전자로 대체 가능,4
ynat-v1_train_00028,GD 이스라엘 강팀 감독으로 축구연맹 W杯 참가,1
ynat-v1_train_00029,프로축구 인천 유니티 35일차 경기 일정,1
ynat-v1_train_00030,해외로밍 요금폭탄 통동차단 더 빨리진다,4
ynat-v1_train_00031,세계인무역협회 올해까지 무역인 1천명 배출한다,3
ynat-v1_train_00032,박항서 매직 베트남 축구 대표팀 감독으로 선임…2년 계약,1
ynat-v1_train_00033,학원 석면 사용 규정 지키자,3
ynat-v1_train_00034,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개 육박,4
ynat-v1_train_00035,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모,0
ynat-v1_train_00036,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,5
ynat-v1_train_00037,dcST C형 생산 인공광원에 초점…기존에 비해 6배 활성화,4
ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀…한국 좋아요,5
ynat-v1_train_00039,LG G8 씽�우 15일부터 예판…디스플레이 1회 무상교체 혜택,2
ynat-v1_train_00040,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,6
ynat-v1_train_00041,다저스 버츠 감독 류현종 담당 포수…최강팀 만들기,1
ynat-v1_train_00042,김현미 1일 연합상임의장 미래창조경제 논의,2
ynat-v1_train_00043,한국민족의 뿌리가 북방…5천년 전 한반도서 자생적으로 형성,0
ynat-v1_train_00044,산업생산 8개월째 고점 제조업 가동률은 금융위 수급 안정보장,5
ynat-v1_train_00045,김유정 의원 사표 제출 못하고 고위공직사표…특별법제 흔들,3
ynat-v1_train_00046,5자농협 우리은행 삼성명 뺏은 우리직장스타,1
ynat-v1_train_00047,김종인 리먼 사태처럼 6개월 충격 지속…IN을 것,2
ynat-v1_train_00048,"Vq)Z!\자o구 김정Re트로1$보니C.도l모르"".Qk이",1
ynat-v1_train_00049,인국공과 2019년의 정치 무력 공과…진보인가,3
ynat-v1_train_00050,美MBA 여성 비율 계속 상승…전주까지 19%대 입생 중 여성,6
ynat-v1_train_00051,근육조직 생성에 필수적인 열쇠 발견,0
ynat-v1_train_00052,위클리 스�스플코리아의 한국서 얼마나 벌어지는 거야,4
ynat-v1_train_00053,코로나 대비 등교하는 모습,3
ynat-v1_train_00054,찍은 사진은 즐거웠다…5개 카메라 LG V40 추천,4
ynat-v1_train_00055,스마트폰 실물 막는 스마트 트커,4
ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려…아랍연맹 긴급회의종합,4
ynat-v1_train_00057,문대통령 김정은 트럼프와 9월 조속히 끝내고 성공적으로 마무리한다고 말2합,2
ynat-v1_train_00058,한미 공동 개발하는 유전 치료제 오래솔 美 임상 2차 본격화,6
ynat-v1_train_00059,아사달 트럼프 외교 경험 없다고…오바마도 그랬어,6
ynat-v1_train_00060,공룡 파충류보다는 타조·매 등 새에 가깝다,2
ynat-v1_train_00061,대한항공 우리카드 꺾고 3연승…GS칼텍스 1라운드 전승종합,5
ynat-v1_train_00062,"CT|2fSSt0 877vA자 10만명 돌,",5
ynat-v1_train_00063,영상 선출부터 퇴장까지…나경원 원내대표 파란만장 1년,5
ynat-v1_train_00064,유라비아 국제연합 회의 상품교환 합의,5
ynat-v1_train_00065,3부 리수아나·MT北 국제사회서 임명일원화는데 기대종합,2
ynat-v1_train_00066,UEFA 챔스리그 4강 마드리드 더비 성사…레알 vs 아탈란타,0
ynat-v1_train_00067,중국 금리면금 정책 나서…중국금리물리화 나고 지하철 광고기고,6
ynat-v1_train_00068,MBC 류현진 특집 다큐…MLB 전설에게 듣는 류현진,0
ynat-v1_train_00069,중선 D1v 울릉도 경관활성화 고용안전 지원 사업,2
ynat-v1_train_00070,모바일 컴퓨팅 미래는…서울서 국제학회 ACM 모비시스 개막,3
ynat-v1_train_00071,영상 냄새가 나는데…퇴근길 마주친 수상한 차 따라가봤더니,2
ynat-v1_train_00072,독자 반이스라엘 테러 팔레스타인인 강연 차단…비자도 취소,3
ynat-v1_train_00073,대한항공 인천∼바르셀로나 노선 첫 취항,1
ynat-v1_train_00074,월드컵 우천재 사령탑 시시코프 감독 한국전 불참,1
ynat-v1_train_00075,특2차 6호에 대한 코스피 주가 금조달에 52% 신고가,5
ynat-v1_train_00076,北조국통·민주공동전선 결성…2일 중간보고회 열어,2
ynat-v1_train_00077,아프리카일기리스트 사형 선고…법정서 내년 처리 예정,5
ynat-v1_train_00078,대구·경북 고용유지지원금 신청 폭주…2∼3월 7천550건,5
ynat-v1_train_00079,본격카 애스턴마틴 스�라 국내 첫 공개…500대 생산,0
ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역2년…악의적 공격 반복종합,5
ynat-v1_train_00081,한산한 성산일출봉 주차장,3
ynat-v1_train_00082,추신수 시즌최다안타·2연차넷타율 0.211,1
ynat-v1_train_00083,홍보 유영준 왕웨이와 직접 조심스러워…중국서 805억원 내다,1
ynat-v1_train_00084,SK한국사이버통신 3분기 영업익 2만원…전기보다 감소,5
ynat-v1_train_00085,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용,5
ynat-v1_train_00086,미국 이민자 신분 변동 허용…의료 분야로 사전입찰해야,6
ynat-v1_train_00087,수능 6월에 피원 등 울 문서서 첫개한 꽃꽃,0
ynat-v1_train_00088,증시신상품 국채선물 인버스 ETF 3종,6
ynat-v1_train_00089,"SHT 내비게s션cTW&/ 국민h,!p yi",3
ynat-v1_train_00090,서울문고 풍경그림에 인수… 지하라인서점 교환풍경강화로,0
ynat-v1_train_00091,온천으로 한방 바꾼다…천천한방 스타일 D20,3
ynat-v1_train_00092,F% 전ZD78개 tn2a매\서 :<[+T 체험pjX ~련,4
ynat-v1_train_00093,문대통령 호주 총리와 축구 평가전 1대1 무승부 축하,1
ynat-v1_train_00094,멀티골 김순형 프로축구 K리그1 1라운드 MVP,1
ynat-v1_train_00095,흥국운용 2천350억원 중순위 인수금융펀드 1호 결성 완료,0
ynat-v1_train_00096,LG U+에 구글 Oreo TV…LG 스마트 피커 없으면 사용,4
ynat-v1_train_00097,종이 면면에도 삼중공격…3D 디스플레이로 설득 받는다,4
ynat-v1_train_00098,올해부터 외국어 수업 증원…학생 증원·교원 대체,4
ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,1
ynat-v1_train_00100,北 서방에 백두산 연구 먼저 제의…과학외교 활발,5
ynat-v1_train_00101,대학농구리그 8일 고려대중앙대 경주 개막,1
